,ACCIDENT_NO,ACCIDENTDATE,CYCLISTS,CYCLISTS_COUNT_LS,ACCIDENTTIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA Description,LIGHT_CONDITION,LIGHT_CONDITION_DEC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY_DESC,SEVERITY,SEVERITY_DESC,SPEED_ZONE,VEHICLE_ID,INITIAL_DIRECTION,Vehicle Type Desc,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TRAFFIC_CONTROL_DESC,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION,NODE_ID,NODE_TYPE,LGA_NAME,Lga Name All,Lat,Long,Postcode No
1493,T20060003371,3/01/2006,59850,4921,12.10.00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,NE,Bicycle,NE,1,1,H,F,9,1,No control,5738,BAY,STREET,LIARDET,STREET,20,NE,202935,N,PORT PHILLIP,PORT PHILLIP,-37.83844,144.94247,3207
1474,T20060003326,4/01/2006,59850,4921,08.15.00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,1,1,1,0,0,0,2,Cross intersection,2,Hospitilisation,40,A,S ,Bicycle,S ,6,6,H,9,9,9,No control,9999,COLLINS,STREET,SWANSTON,STREET,0,E,29427,I,MELBOURNE,MELBOURNE,-37.81549,144.96654,3000
2727,T20060005966,5/01/2006,59850,4921,17.50.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,1,Day,2,2,1,0,0,1,1,Cross intersection,2,Hospitilisation,50,B,NE,Bicycle,NE,1,1,H,1,9,1,No control,5738,BAY,STREET,LIARDET,STREET,0,SW,40038,I,PORT PHILLIP,PORT PHILLIP,-37.83858,144.94234,3207
9084,T20060020287,5/01/2006,59850,4921,08.15.00,1,Collision with vehicle,5,Thursday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,1,0,0,1,1,Not at intersection,2,Hospitilisation,60,B,N ,Bicycle,N ,1,1,H,9,9,9,No control,5882,ST KILDA,ROAD,DORCAS,STREET,70,S,75621,N,MELBOURNE,"MELBOURNE,PORT PHILLIP",-37.83053,144.97135,3004
3904,T20060008072,6/01/2006,59850,4921,21.38.00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,2,Dusk/Dawn,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,9,9,9,Stop-go lights,2510,KINGS,WAY,,,75,NK,36933,N,MELBOURNE,MELBOURNE,-37.82787,144.96215,3006
868,T20060002259,11/01/2006,59850,4921,08.40.00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,B,SE,Bicycle,SE,1,1,H,R,9,1,Stop-go lights,5046,ELIZABETH,STREET,VICTORIA,STREET,0,S,36230,I,MELBOURNE,MELBOURNE,-37.80629,144.9595,3000
864,T20060002252,13/01/2006,59850,4921,07.45.00,1,Collision with vehicle,6,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,W ,Bicycle,W ,1,1,H,9,9,1,No control,5041,KING,STREET,COLLINS,STREET,0,S,206,I,MELBOURNE,MELBOURNE,-37.81836,144.95663,3000
22181,T20060046142,13/01/2006,59850,4921,14.00.00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,1,Day,1,1,1,0,0,0,2,Not at intersection,2,Hospitilisation,50,A,NE,Bicycle,NE,1,15,H,F,2,1,Stop-go lights,9999,CECIL,STREET,PARK,STREET,0,S,37535,I,PORT PHILLIP,PORT PHILLIP,-37.83594,144.95912,3205
1064,T20060002665,17/01/2006,59850,4921,08.20.00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,B,S ,Bicycle,SE,1,1,H,F,9,1,No control,5127,TOORAK,ROAD,KINGS,WAY,0,NW,119,I,MELBOURNE,"PORT PHILLIP,MELBOURNE",-37.83622,144.97554,3004
5812,T20060011774,23/01/2006,59850,4921,10.40.00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE)               ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,COLLINS,STREET,EXHIBITION,STREET,0,E,36990,I,MELBOURNE,MELBOURNE,-37.81405,144.97147,3000
2320,T20060005288,27/01/2006,59850,4921,18.15.00,8,No collision and no object struck,6,Friday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175  ,1,Day,2,2,1,0,0,1,2,T intersection,2,Hospitilisation,40,B,W ,Bicycle,W ,1,1,H,9,9,9,Ped. crossing,9999,QUEENS BRIDGE,STREET,SOUTHBANK,PROMENADE BIKE,84,S,222014,N,MELBOURNE,MELBOURNE,-37.82173,144.96133,3006
5579,T20060011398,29/01/2006,59850,4921,12.30.00,1,Collision with vehicle,1,Sunday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,0,2,0,1,1,Not at intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,F,9,9,Stop-go lights,9999,SWANSTON,STREET,ST KILDA,ROAD,50,N,1382,N,MELBOURNE,MELBOURNE,-37.8183,144.96783,3000
5596,T20060011425,29/01/2006,59850,4921,13.22.00,1,Collision with vehicle,1,Sunday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148       ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,5882,ST KILDA,ROAD,DORCAS,STREET,20,S,75622,N,MELBOURNE,"PORT PHILLIP,MELBOURNE",-37.83008,144.97133,3004
2334,T20060005304,3/02/2006,59850,4921,18.15.00,8,No collision and no object struck,6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,9,9,9,No control,5046,ELIZABETH,STREET,HAYMARKET,WALK,40,N,202945,N,MELBOURNE,MELBOURNE,-37.80019,144.9575,3000
532,T20060001543,5/02/2006,59850,4921,18.50.00,1,Collision with vehicle,1,Sunday,111,RIGHT FAR (INTERSECTIONS ONLY)               ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,N ,Bicycle,E ,2,2,H,9,9,9,Roundabout,9999,BEACH,STREET,PIER,STREET,0,E,48666,I,PORT PHILLIP,PORT PHILLIP,-37.83946,144.92746,3207
445,T20060001260,6/02/2006,59850,4921,19.45.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,5285,BRIDGE,ROAD,CHURCH,STREET,19,E,205345,N,YARRA,YARRA,-37.81858,144.99938,3121
2380,T20060005367,6/02/2006,59850,4921,08.15.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,9,9,9,No control,9999,CECIL,STREET,YORK,STREET,0,S,37505,I,PORT PHILLIP,PORT PHILLIP,-37.8315,144.95708,3205
1852,T20060004131,8/02/2006,59850,4921,08.20.00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,1,1,0,1,0,0,2,Not at intersection,3,Other Injury,50,A,S ,Bicycle,S ,1,1,H,N,9,9,No control,9999,SWANSTON,STREET,CARDIGAN,TERRACE,15,N,202946,N,MELBOURNE,MELBOURNE,-37.80572,144.96306,3053
2525,T20060005596,8/02/2006,59850,4921,16.45.00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,2,1,0,1,0,0,2,Cross intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,9,9,9,Stop-go lights,5318,CLARENDON,STREET,COVENTRY,STREET,0,N,37527,I,PORT PHILLIP,PORT PHILLIP,-37.83189,144.96006,3205
699,T20060001919,12/02/2006,59850,4921,18.15.00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH                        ,1,Day,2,2,1,0,0,1,1,Cross intersection,2,Hospitilisation,40,B,N ,Bicycle,N ,99,99,H,9,9,9,Stop-go lights,9999,BRUNSWICK,STREET,GERTRUDE,STREET,0,N,36469,I,YARRA,YARRA,-37.80575,144.97721,3065
1291,T20060003078,12/02/2006,59850,4921,09.30.00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,1,1,1,0,0,0,2,Not at intersection,2,Hospitilisation,40,A,N ,Bicycle,N ,1,1,H,9,9,9,Unknown,9999,SWANSTON,STREET,LITTLE COLLINS,STREET,36,S,205408,N,MELBOURNE,MELBOURNE,-37.81481,144.96623,3000
1841,T20060004113,14/02/2006,59850,4921,13.40.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,9999,HOWARD,STREET,QUEENSBERRY,STREET,0,N,36193,I,MELBOURNE,MELBOURNE,-37.80355,144.95406,3051
940,T20060002375,15/02/2006,59850,4921,17.50.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,1,Day,3,3,0,1,0,2,1,Cross intersection,3,Other Injury,60,C,E ,Bicycle,E ,1,1,H,F,2,6,Stop-go lights,5082,VICTORIA,STREET,BOUVERIE,STREET,0,W,36261,I,MELBOURNE,MELBOURNE,-37.8065,144.96142,3053
974,T20060002451,15/02/2006,59850,4921,16.30.00,1,Collision with vehicle,4,Wednesday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,9999,LANGRIDGE,STREET,WELLINGTON,STREET,0,W,29405,I,YARRA,YARRA,-37.80659,144.98608,3066
